tid,text,likes,retweets
988109889078784000,Ant Financial looks to raise $9bn in private funding round #Startups #fintech #Alibaba #JackMa https://t.co/qSNiBIPtjI,0,0
988104254811529217,RT @cybersecboardrm: Why tech companies are racing each other to make their own custom A.I. chips #AI #hardware #Alibaba https://t.co/iBP6Y…,0,2
988102186914799616,RT @cybersecboardrm: Why tech companies are racing each other to make their own custom A.I. chips #AI #hardware #Alibaba https://t.co/iBP6Y…,0,2
988100362832891904,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988100315974111232,#Tron Going to #Moon? - #TRX Partnership - #Alibaba #Virgin #Tesla  https://t.co/XmTuc4YNcX https://t.co/4ZeZh9Tpa8,1,0
988098210466955265,RT @SavageDarkhorse: Chinese will always support and back another Chinese Company. Especially in today's market climate against another U.S…,0,4
988095642324086786,Why tech companies are racing each other to make their own custom A.I. chips #AI #hardware #Alibaba… https://t.co/oesSfFrYRb,1,2
988093466965151750,Amazon May Have a Counterfeit Problem #counterfeit #fake #amazon #Alibaba #ebay #ecommerce #onlineshopping… https://t.co/zsdxE83YWw,0,0
988091338989146117,"#Alibaba joins #Google, others in making custom #AI chips
https://t.co/QQCXnaKf2Z https://t.co/St2PaIxfV9",0,0
988090487889448965,"RT @drjriggs: Alibaba joins Google, others in making custom AI chips https://t.co/2kjwHdpfdq #AI #ArtificialIntelligence #Technology #Tech…",0,1
988088926417145857,Alibaba to accelerate South East Asia ecommerce by investing additional $2 billion to Lazada… https://t.co/rUmKNfWh6S,0,0
988087646101622785,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
988085173731430400,"Alibaba joins Google, others in making custom AI chips https://t.co/2kjwHdpfdq #AI #ArtificialIntelligence… https://t.co/Ic0UIuLvBY",0,1
988075327770546182,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988073796946022400,#Alibaba acquires #Chinese #microchip maker to boost its #IoT #business https://t.co/dSeCJjRpek via @VentureBeat… https://t.co/iRfOLXsOJQ,2,0
988070421537968128,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988063516392378370,Why #tech companies are racing each other to make their own custom #AI #alibaba #google #facebook #Nvidia chips https://t.co/tNHcUnc30J,2,0
988063286263459842,"Jack Ma is the boss

#DiplyFacts #Diply #canyoubelieveit #factsoftheday #factsdaily #facts #knowmore #alibaba… https://t.co/SKkrzqM4Nm",1,0
988062897564737537,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988062287536635904,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988057882967982080,@WLFOFMYST Tron would be the logical choice in my book. #Tron #Alibaba,1,0
988056820861227008,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988055856783605760,RT @ChinaDailyUSA: Artificial intelligence and the cloud-based internet of things are two major application areas where China's homegrown #…,0,17
988053066443378689,"Alibaba Subsidiary Taobao Bans listing of Cryptocurrency and ICO Services. 
#Taobao, often known as #eBay of #China… https://t.co/RWKdOd89rU",0,0
988043453857652737,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988039593009152000,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988038060855050240,"RT @jblefevre60: Jack Ma's (#CEO #Alibaba ) Original Sales Pitch in 1999 in his appartment...
 #startup #entrepreneurship

@evankirstel @Mi…",0,184
988036943748386816,RT @hightechafrica: World’s Most Valuable #AI Startup Also Happens To Be Part of “the World’s Biggest System of #Surveillance https://t.co/…,0,3
