tid,text,likes,retweets
989539079334309888,RT @hasibulhasante1: Looking for #Photo #Background #Removal #services for your #Amazon #eBay #Web #stores #product #images? Visit here htt…,0,95
989539067359629313,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989539042382483456,"#UK 20% off, 35 Reviews: Beurer  By80 Baby Scale for £43.99. Great Deal for Today! #Thursday #Amazon #Deal [… https://t.co/cfl6hRoJtw",0,0
989539011751481351,"RT @TheHackersNews: ⚠️Smart Assistant 'Alexa' Has Got Some Serious Skills That Turns Your #Amazon Echo Into A Spying Device

https://t.co/B…",0,68
989538973117747200,"RT @INDIEBOOKSOURCE: BIG BOOST. SMALL PRICE. 
Book Promotion for indie authors.
LINK:  https://t.co/4AFt6jkMBC
#Books #IARTG #Kindle #Amazo…",0,2
989538958156615680,"RT @Unbox_Junkie: New Video - These Mini True Wireless  Speakers are Loud!
↪https://t.co/J9NhGxCtFH↩

#amazon #tiamat #truewireless #speake…",0,130
989538941190791169,Free book April 24-28. Get the most out of you bike. Great tips on everything you need to know about cycling.… https://t.co/mXeZSy4iJX,0,0
989538933200437248,"Meant for Love
https://t.co/AZ8u3VBnen
#Steamy #Romance #Sagas #Collections #Anthologies #Free #Book #Kindle… https://t.co/Ep0X7FDFHs",0,0
989538915353702400,"RT @Anti_Logic: SIMPLY TAKING A CLOSER LOOK AT THIS PIC OF STOCK #CHARTS, I SEE THAT THESE COOPERATIVE MONOPOLIES ARE #HIERARCHAL BY WHICH…",0,2
989538873008115713,"RT @WendyKathrynOwe: #goodreads #amreading 

'I'll Stand By You has reached' #NumberOne in the #Amazon fiction charts.

This beautifully ob…",0,3
989538864527216640,"What do you think of the new “in-car delivery” option by Amazon? #InCarDelivery #Amazon
https://t.co/D6gsThINVw https://t.co/fQesOOteMj",0,0
989538859301122049,AWS X-Ray Adds Support for Customer Managed AWS KMS Keys - https://t.co/oXX8qhxuSs @awscloud #amazon #aws,0,0
