tid,text,likes,retweets
989048652449636353,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989048474544017409,RT @mommyhoodLife: Head to @Walmart and stock up on @Oreo Chocolate King Size Candy Bars for Only $1!  Plus enter to #win a $200 #Giveaway…,0,63
989048472958533633,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989048250501038081,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989047611842813953,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989047445853233152,RT @mommyhoodLife: Head to @Walmart and stock up on @Oreo Chocolate King Size Candy Bars for Only $1!  Plus enter to #win a $200 #Giveaway…,0,63
989047300780625920,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989047227011223553,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989046627305435136,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989046606283661312,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989045971509227520,RT @mdefined: ad: @OREO Chocolate King Size Candy Bars Now on RollBack + $500 @Walmart Giveaway #OREOChocolate #KingSizeRollBack #Walmart #…,0,149
989045810557054976,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989045700259442688,RT @DeliciouslySavv: Do You Love OREO's &amp; Chocolate? Well You Have 2 Check Out The OREO Chocolate King Size Candy Bar Rollback Giveaway! En…,0,188
989045199795048448,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989044774010327040,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989044511174283264,RT @odat_ilaquq90: Work at #WalMart? See how you fit the company culture...,0,1
989044452114272256,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989044018477785088,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989043926739947521,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989043870280437760,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989043523570819072,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989043213767004160,I was at #Walmart in my truck when I noticed a guy unable to find his car. He kept pressing his alarm #clicker in t… https://t.co/eP1mj5Rl4x,0,0
989043210159906817,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989043140463157248,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989042909294063618,15 years at #Walmart https://t.co/w0kRMl6HX6,0,0
989042865388048384,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989042239132307457,"RT @Sleep_Right: The morning commute can be rough without the constant jaw pain from your nighttime #TeethGrinding. 

Suffer no more with o…",0,1
989042125613527040,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989041762634227715,"RT @TamaraCamPhoto: When your favorite candy bar is on Rollback at @Walmart!
https://t.co/uGWEXIrneN
I'm so excited to get my hands on more…",0,66
989041429136756736,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989041424380424194,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989041387457957888,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989040896011329536,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989040749151997953,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989040448911093761,RT @mommyhoodLife: Head to @Walmart and stock up on @Oreo Chocolate King Size Candy Bars for Only $1!  Plus enter to #win a $200 #Giveaway…,0,63
989039563749421056,RT @Stewart_IGD: #Walmart testing new mobile check out service https://t.co/123e8gVs6G https://t.co/ltLfw3ZaRA,0,6
989039443159015426,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989039202389188609,"#DianteYarber was shot at least 10 times, possibly more, by gun-fire from #Barstow #police officers in a #Walmart p… https://t.co/jmUDpCNHpF",0,0
989039017411989505,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989038737538600960,Goin on 17 hours #24hourchallenge #Walmart,1,0
989038597637632000,Get the latest  #walmart #deals at #hub4deals https://t.co/GvNXxoL93L https://t.co/uwfGBRJW4A,0,0
989038420600262657,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989038359715737600,"Senior #director Fresh Food Manufacturing #international Supply Chain: #Walmart, Bentonville, AR. https://t.co/AM7gIApvq0 #MBA #jobs #USA",0,0
989038281500307456,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989038005519310848,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989037984287772672,RT @HabichtJonathan: #Walmart Is Ready To Use #Blockchain For Its Live Food Business https://t.co/YgfWUYcuSh,0,6
989037766334967808,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989037537846071297,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989037509144399872,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989037267489615873,RT @Tokenlend_news: Blockchain steps into the live food business! Walmart has the force and is not afraid to use it 😉 Come check out the ar…,0,39
989037202695950336,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989036903382085633,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989036327818719234,"I uploaded a new episode, ""Stryper &amp; Dokken New Releases"", on #spreaker #amazon #blabbermouth #dokken #dondokken… https://t.co/Eoymu252ri",0,0
989036321166495744,Why #Walmart is getting its food suppliers to embrace #blockchain | Techcircle https://t.co/jzO0vo3sJi,0,0
989036307446992896,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989036135652478977,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989036084393840641,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989035825177481218,RT @mommyhoodLife: Head to @Walmart and stock up on @Oreo Chocolate King Size Candy Bars for Only $1!  Plus enter to #win a $200 #Giveaway…,0,63
989035394380521472,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989035331910619136,RT @Tokenlend_news: Blockchain steps into the live food business! Walmart has the force and is not afraid to use it 😉 Come check out the ar…,0,39
989035248049688577,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989035241754021888,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
989035083318349824,RT @MomNeedsABottle: #AD Grab the @OREO Chocolate King Size Candy Bars on Rollback @Walmart for just $1.00 and also enter to WIN some amazi…,0,85
989035077949640705,"RT @PinkNinjaBlogg: Made from the Best Stuff on Earth @Snapple, helps you take the best afternoon break on Earth. Mango Tea from Snapple wi…",0,82
989034842443649024,RT @howdooHQ: #Walmart filing patents revolving around #blockchain technology https://t.co/Am9q89adPm,0,173
